OpenDSS Value (p.u.),Bus
1.050135554939455,p17ulv30801
1.0505936693543092,p17ulv56176
1.0516130709281457,p17ulv56600
1.0523957643187556,p17ulv54834
1.0526099764295493,p17udm14991
1.053058359298021,p17ulv29690
1.0532853736163978,p17ulv54831
1.0533996263940038,p17ulv46752
1.053945570165382,p17ulv7000
1.054098286875982,p17ulv17889
1.054114582822865,p17ulv25069
1.0545324531298346,p17ulv12852
1.0551465862888005,p17ulv14083
1.0561709723940496,p17udm54380
1.0563518327062724,p17udm47038
1.0573789871317802,p17ulv29648
1.0582051486617305,p17ulv67402
1.0582560131908016,p17ulv29944
1.058588695248574,p17ulv54558
1.0607146476697829,p17ulv54760
1.061818420856474,p17ulv20105
1.0624463257447754,p17ulv55628
1.0632693809472618,p17ulv7095
1.0639909417420146,p17ulv44922
1.0641998469611267,p17ulv30147
1.0644554813053617,p17ulv15503
1.0646879206190814,p17ulv46769
1.0654025035477985,p17ulv57226
1.0655973847229492,p17ulv14048
1.0672406806405879,p17ulv4672
1.0726214241514405,p17ulv46778
1.0729370824571483,p17ulv46964
1.0742396393806812,p17ulv54543
1.0756246720092932,p17ulv54728
1.0779443307889176,p17ulv56400
