Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.0826896566327986,Transformer.tr(r:p17udt14635-p17udt14635lv),p17udt14635.1,25.0,1
1.1880696768659595,Transformer.tr(r:p17udt3384-p17udt3384lv),p17udt3384.3,50.0,1
1.255579739328823,Transformer.tr(r:p17udt14381-p17udt14381lv),p17udt14381.1,50.0,1
1.3070368090421065,Transformer.tr(r:p17udt12386-p17udt12386lv),p17udt12386.1,75.0,1
1.3402485780474593,Transformer.tr(r:p17udt4164-p17udt4164lv),p17udt4164.2,50.0,1
1.357792963044098,Transformer.tr(r:p17udt14873-p17udt14873lv),p17udt14873,100.0,3
1.3881310830108426,Transformer.tr(r:p17udt1818-p17udt1818lv),p17udt1818.2,25.0,1
1.4203497716335225,Transformer.tr(r:p17udt14344-p17udt14344lv),p17udt14344.2,75.0,1
1.4440482913602588,Transformer.tr(r:p17udt3351-p17udt3351lv),p17udt3351.1,25.0,1
1.5247919540434989,Transformer.tr(r:p17udt12424-p17udt12424lv),p17udt12424.1,50.0,1
1.7568045542053985,Transformer.tr(r:p17udt14337-p17udt14337lv),p17udt14337.2,75.0,1
1.8468586301782535,Transformer.tr(r:p17udt4159-p17udt4159lv),p17udt4159.3,75.0,1
1.8646378777256183,Transformer.tr(r:p17udt3557-p17udt3557lv),p17udt3557.3,25.0,1
1.8920004558743702,Transformer.tr(r:p17udt12400-p17udt12400lv),p17udt12400.2,25.0,1
1.9595640314600893,Transformer.tr(r:p17udt14878-p17udt14878lv),p17udt14878.2,50.0,1
2.041834515612752,Transformer.tr(r:p17udt11895-p17udt11895lv),p17udt11895.2,25.0,1
2.077181075104914,Transformer.tr(r:p17udt11958-p17udt11958lv),p17udt11958.2,25.0,1
2.1036290643091857,Transformer.tr(r:p17udt12437-p17udt12437lv),p17udt12437.2,25.0,1
2.15397891339461,Transformer.tr(r:p17udt8064-p17udt8064lv),p17udt8064.1,25.0,1
2.2270068913931076,Transformer.tr(r:p17udt7978-p17udt7978lv),p17udt7978.3,25.0,1
2.3062139568169413,Transformer.tr(r:p17udt4170-p17udt4170lv),p17udt4170.3,50.0,1
2.5405094260188688,Transformer.tr(r:p17udt12408-p17udt12408lv),p17udt12408.2,25.0,1
2.639524630487593,Transformer.tr(r:p17udt7975-p17udt7975lv),p17udt7975.2,25.0,1
2.78331207815825,Transformer.tr(r:p17udt7943-p17udt7943lv),p17udt7943.2,25.0,1
2.7842644768971994,Transformer.tr(r:p17udt12414-p17udt12414lv),p17udt12414.3,25.0,1
2.8092383921153234,Transformer.tr(r:p17udt14666-p17udt14666lv),p17udt14666.1,25.0,1
2.8244521780845497,Transformer.tr(r:p17udt8045-p17udt8045lv),p17udt8045.1,50.0,1
2.9119971803446734,Transformer.tr(r:p17udt5423-p17udt5423lv),p17udt5423.3,25.0,1
2.9939834874619944,Transformer.tr(r:p17udt11900-p17udt11900lv),p17udt11900.1,25.0,1
3.015890438655679,Transformer.tr(r:p17udt14863-p17udt14863lv),p17udt14863.3,25.0,1
3.7426688833526276,Transformer.tr(r:p17udt3665-p17udt3665lv),p17udt3665.1,25.0,1
5.172104387008607,Transformer.tr(r:p17udt4078-p17udt4078lv),p17udt4078.1,25.0,1
6.01101647566944,Transformer.tr(r:p17udt14378-p17udt14378lv),p17udt14378.2,25.0,1
