Loading (p.u.),Name,Bus1,Bus2
1.0144067068377411,Line.l(r:p17udt3673lv-p17ulv14075),p17udt3673lv.1.2,p17ulv14075.1.2
1.0163624621754281,Line.l(r:p17udm32941-p17udt8643lv),p17udt8643lv.1.2,p17udm32941.1.2
1.0188345493031707,Line.l(r:p17udm34184-p17udt9034lv),p17udt9034lv.1.2,p17udm34184.1.2
1.0229360105968632,Line.l(r:p17udm38119-p17ulv37325),p17udm38119.1.2,p17ulv37325.1.2
1.1708833008217363,Line.l(r:p17udm38119-p17udt10048lv),p17udt10048lv.1.2,p17udm38119.1.2
1.1837848154614927,Line.l(r:p17udm7809-p17udt1811lv),p17udt1811lv.1.2,p17udm7809.1.2
1.1837848529365613,Line.l(r:p17udm7809-p17ulv9315),p17udm7809.1.2,p17ulv9315.1.2
1.3659245554246915,Line.l(r:p17udt6070lv-p17ulv22437),p17udt6070lv.1.2,p17ulv22437.1.2
1.4177236210916053,Line.l(r:p17udt10196lv-p17ulv38102),p17udt10196lv.1.2,p17ulv38102.1.2
1.4392339863547265,Line.l(r:p17udm7604-p17udt1764lv),p17udt1764lv.1.2,p17udm7604.1.2
1.439234029491645,Line.l(r:p17udm7604-p17ulv7095),p17udm7604.1.2,p17ulv7095.1.2
1.483505487451582,Line.l(r:p17udt3658lv-p17ulv13954),p17udt3658lv.1.2,p17ulv13954.1.2
1.5279752565261815,Line.l(r:p17udm7567-p17udt1760lv),p17udt1760lv.1.2,p17udm7567.1.2
1.6352634178842214,Line.l(r:p17udm7567-p17ulv6726),p17udm7567.1.2,p17ulv6726.1.2
1.6356876964598022,Line.l(r:p17udm5568-p17udt1327lv),p17udt1327lv.1.2,p17udm5568.1.2
1.6866892305794088,Line.l(r:p17udt2607lv-p17ulv10010),p17udt2607lv.1.2,p17ulv10010.1.2
1.7459340156158107,Line.l(r:p17udt14622lv-p17ulv55373),p17udt14622lv.1.2,p17ulv55373.1.2
1.879270347811303,Line.l(r:p17udm5568-p17ulv5196),p17udm5568.1.2,p17ulv5196.1.2
1.892981721970414,Line.l(r:p17udt2059lv-p17ulv7921),p17udt2059lv.1.2,p17ulv7921.1.2
1.9897585275302967,Line.l(r:p17udt2619lv-p17ulv10086),p17udt2619lv.1.2,p17ulv10086.1.2
2.037799486158579,Line.l(r:p17udt1832lv-p17ulv32511),p17udt1832lv.1.2,p17ulv32511.1.2
2.092827482756201,Line.l(r:p17udm54943-p17udt14584lv),p17udt14584lv.1.2,p17udm54943.1.2
2.092827597677853,Line.l(r:p17udm54943-p17ulv55282),p17udm54943.1.2,p17ulv55282.1.2
2.4896988567301688,Line.l(r:p17udt2059lv-p17ulv7973),p17udt2059lv.1.2,p17ulv7973.1.2
2.5090006957608275,Line.l(r:p17udt2604lv-p17ulv10003),p17udt2604lv.1.2,p17ulv10003.1.2
2.600901397400059,Line.l(r:p17udm37978-p17udt10021lv),p17udt10021lv.1.2,p17udm37978.1.2
2.63888476023947,Line.l(r:p17udt1164lv-p17ulv4480),p17udt1164lv.1.2,p17ulv4480.1.2
2.7396016530603555,Line.l(r:p17udm37978-p17ulv37797),p17udm37978.1.2,p17ulv37797.1.2
2.894368117997854,Line.l(r:p17udm23412-p17udt6072lv),p17udt6072lv.1.2,p17udm23412.1.2
2.89436851083042,Line.l(r:p17udm23412-p17ulv22449),p17udm23412.1.2,p17ulv22449.1.2
